epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_weighted,val_f1_weighted,val_f1_macro,learning_rate,loss_ce,loss_kl,loss_sat,loss_ortho
1,1.718001363507472,1.9294506238386566,0.5726253992101658,0.5853658318519592,0.5490874128911633,0.4987162947654724,0.4663859863489701,0.0001,0.8427872965332964,0.4315686770125507,0.2723358279744431,0.171309561987182
2,1.5310085125475879,1.721413900973943,0.5921190095372092,0.5121951103210449,0.57287586546799,0.43890053033828735,0.40950165220485935,0.0001,0.7277363622668104,0.39863169476393917,0.2542856709184137,0.15035478459842452
3,1.3343303700097622,1.54818708325437,0.635320948794367,0.6341463327407837,0.614879786579445,0.6460914015769958,0.606842321122734,0.0001,0.6277295670245404,0.3527922158125374,0.22405252808666315,0.1297560590860212
4,1.1677938691790994,1.433643865921801,0.6638679348426553,0.5853658318519592,0.630596014126472,0.4588906466960907,0.4053413688384649,0.0001,0.5304211490051183,0.3169038487399335,0.20409862207016433,0.11637024936388338
5,1.008060726955948,1.3013673899016327,0.6828270520936882,0.6829268336296082,0.6641924287341142,0.6205896735191345,0.5463843512395238,0.0001,0.44330938627369465,0.2795239808978599,0.18291169223312426,0.10231566755126925
6,0.8896251135498886,1.1771651802486047,0.7231996809206835,0.9024389982223511,0.6903171535455875,0.9002594947814941,0.8513818574937434,0.0001,0.3875118325922954,0.24743252603540516,0.16795272549476187,0.08672802942742612
7,0.7827921290084896,1.0524345452821864,0.7586762244646394,0.7317073345184326,0.7284382154094174,0.696280837059021,0.6355569695093527,0.0001,0.32556353676786387,0.22220002841137476,0.15677713931715695,0.07825142451209398
8,0.7354583887307106,0.9514033679129682,0.7847828684569537,0.8780487775802612,0.7671776106104944,0.8784865736961365,0.8320133035100377,0.0001,0.309924771242562,0.20515569716392676,0.14851761301759195,0.07186030730662976
9,0.6466882197497653,0.8926008197858706,0.8137659351383245,0.8780487775802612,0.7932549221097409,0.8809077143669128,0.8342162048758064,0.0001,0.26249517085266494,0.1874547305022602,0.1330961680821711,0.06364215031266907
10,0.587037917156976,0.8098751023827679,0.8349875067056116,0.9268292784690857,0.8204642090204369,0.9245452284812927,0.8716837975607353,0.0001,0.2463766015866547,0.16282221000427105,0.12141248639329062,0.056426619172759686
11,0.49671906023214757,0.7324386031289069,0.8560579831669574,0.8780487775802612,0.8357863699359677,0.8802322745323181,0.8068009392338087,0.0001,0.20522889235042535,0.13942043760901143,0.10552153792364663,0.04654819234906414
12,0.4960334914069555,0.6899698179004821,0.8930830427797614,0.9512194991111755,0.8701323008798255,0.9514787197113037,0.8788234800669285,0.0001,0.1923311008800976,0.14793949405740453,0.10757054685914762,0.048192349610305746
13,0.44771546089574554,0.6206340761260617,0.9110238181667882,0.9512194991111755,0.873834061201631,0.9491869807243347,0.8952649683560354,0.0001,0.17058000485534325,0.13358090297652095,0.0995086422354539,0.044045910828427466
14,0.3810385263892812,0.6104833705580301,0.9206765096939642,0.8780487775802612,0.8917079837857471,0.8801867365837097,0.8076561473266124,0.0001,0.15609804038006853,0.10827786500858327,0.08217974711853351,0.03448287388209587
15,0.3488098525717108,0.5444190868850151,0.9271988740734372,0.9024389982223511,0.8951549451038889,0.9029063582420349,0.8235698137797971,0.0001,0.13938518129446195,0.10074551475787816,0.07975888027074289,0.028920276248627814
16,0.32246254141361425,0.5250541194218245,0.9375379378812067,0.8780487775802612,0.9048576271825791,0.8747626543045044,0.8120441986306581,0.0001,0.13300600326500353,0.0890576800775347,0.0705422968122266,0.029856561258849414
17,0.3057591109500526,0.47952299371258567,0.9532740554869208,0.8780487775802612,0.9424643721294941,0.8801867365837097,0.8324254580867925,0.0001,0.12768721822387463,0.08435965548398015,0.06808214717479308,0.02563009006740474
18,0.29720774451316145,0.45992045081943117,0.9632807511467169,0.9024389982223511,0.9350736828867197,0.904770016670227,0.8464204078704168,0.0001,0.1126522827602309,0.08836769307984518,0.0711075091976389,0.02508025947544644
19,0.275717028506815,0.4362084039332524,0.968331747066355,0.9024389982223511,0.9550931437216684,0.8968514204025269,0.8337798103900003,0.0001,0.1136253129553179,0.0767801523143726,0.0630464276485392,0.02226513558858531
20,0.25417818007205717,0.39975828947090486,0.9703551509264472,0.8780487775802612,0.949289309706365,0.8801867365837097,0.798866326871192,0.0001,0.09973985567103912,0.06852966792563303,0.06329928402734844,0.02260937244803658
21,0.2577264730967913,0.4116566379346939,0.9708924005698724,0.8780487775802612,0.9547367396761218,0.8801867365837097,0.819579556188328,0.0001,0.11354341911951746,0.0645074348285486,0.058539050799047185,0.021136568349678038
22,0.2233643943548341,0.38659172509157813,0.9623299701196134,0.8780487775802612,0.9374090829127691,0.8801867365837097,0.8345814211245318,0.0001,0.10113424528041699,0.057791206012667365,0.04788572193873647,0.01655322112301329
